4/3/25 19:33:1, Microphone: 3, Temp =  79.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49
4/3/25 19:35:2, Microphone: -19, Temp =  80.00, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:35:3, Microphone: -51, Temp =  80.00, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:35:5, Microphone: -38, Temp =  79.99, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.42

4/3/25 19:35:6, Microphone: 0, Temp =  79.91, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:35:8, Microphone: 15, Temp =  80.00, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.22, GyroZ =  0.42

4/3/25 19:35:9, Microphone: -65, Temp =  79.97, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.42

4/3/25 19:35:11, Microphone: 17, Temp =  79.99, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49

4/3/25 19:35:12, Microphone: -2, Temp =  80.09, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.49

4/3/25 19:35:14, Microphone: 10, Temp =  79.95, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:15, Microphone: 0, Temp =  80.00, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:35:17, Microphone: -10, Temp =  80.02, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:18, Microphone: -23, Temp =  80.04, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:20, Microphone: -90, Temp =  80.00, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:35:22, Microphone: -2, Temp =  80.09, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:35:23, Microphone: 31, Temp =  80.10, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:35:25, Microphone: -18, Temp =  80.04, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:35:26, Microphone: -15, Temp =  80.08, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:28, Microphone: 39, Temp =  80.07, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:35:29, Microphone: 28, Temp =  79.97, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.21, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:35:31, Microphone: 36, Temp =  80.10, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:35:32, Microphone: -15, Temp =  80.02, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:35:34, Microphone: -15, Temp =  80.13, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:35:35, Microphone: 18, Temp =  80.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:37, Microphone: 28, Temp =  80.03, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:35:38, Microphone: -12, Temp =  80.02, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:35:40, Microphone: 13, Temp =  80.17, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:35:41, Microphone: -11, Temp =  80.11, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.21, GyroY =  -2.80, GyroZ =  0.49

4/3/25 19:35:43, Microphone: -8, Temp =  80.06, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:35:44, Microphone: 27, Temp =  80.09, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.14, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:35:46, Microphone: 10, Temp =  80.20, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:35:47, Microphone: -26, Temp =  80.07, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:49, Microphone: 12, Temp =  80.07, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.49

4/3/25 19:35:50, Microphone: 21, Temp =  80.11, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.49

4/3/25 19:35:52, Microphone: -45, Temp =  80.17, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.56

4/3/25 19:35:54, Microphone: -22, Temp =  80.13, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:35:55, Microphone: 17, Temp =  80.14, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:35:57, Microphone: -24, Temp =  80.23, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:35:58, Microphone: 4, Temp =  80.23, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:36:0, Microphone: 45, Temp =  80.23, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:36:1, Microphone: 29, Temp =  80.19, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:36:3, Microphone: 9, Temp =  80.18, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:36:4, Microphone: 29, Temp =  80.17, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:36:6, Microphone: -1, Temp =  80.17, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:7, Microphone: 27, Temp =  80.16, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:36:9, Microphone: 19, Temp =  80.20, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.28

4/3/25 19:36:10, Microphone: 29, Temp =  80.19, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.49

4/3/25 19:36:12, Microphone: 7, Temp =  80.17, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -17.92, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:13, Microphone: 5, Temp =  80.20, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:36:15, Microphone: 2, Temp =  80.23, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:16, Microphone: 3, Temp =  80.26, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:18, Microphone: 21, Temp =  80.24, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.28

